State,Capitol,Region,US House Seats,Population,COVID-19 Cases,COVID-19 Deaths,Median Household Income,Violent Crime Rate
Nevada,Carson City,West,4,3080156,256172,3658,60365,493.8,0.014279468,8316.851484,118.7602186
Missouri,Jefferson City,Midwest,8,6137428,431957,6201,55461,495,0.014355596,7038.078492,101.0358085
Massachusetts,Boston,New England,9,6892503,443193,13364,81215,327.6,0.030153906,6430.073371,193.8918271
North Carolina,Raleigh,South,13,10488084,650926,7825,54602,371.8,0.012021336,6206.338546,74.60847949
Kansas,Topeka,Midwest,4,2913314,252041,3355,59597,410.8,0.013311326,8651.350318,115.1609473
North Dakota,Bismarck,Midwest,1,762062,95599,1373,64894,284.6,0.014362075,12544.77982,180.1690676
Rhode Island,Providence,New England,2,1059361,103386,1996,67167,221.1,0.019306289,9759.279415,188.4154693
Mississippi,Jackson,South,4,2976149,248189,5411,45081,277.9,0.021801933,8339.266616,181.8121337
South Carolina,Columbia,South,7,5148714,371180,5934,53199,511.3,0.015986853,7209.178836,115.2520804
Connecticut,Hartford,New England,5,3565287,221544,6553,78444,183.6,0.029578774,6213.917701,183.80007
Oregon,Salem,West,5,4217737,130246,1737,62818,284.4,0.013336302,3088.054092,41.18322219
South Dakota,Pierre,Midwest,1,884659,104512,1614,58275,399,0.015443203,11813.81753,182.4431787
Alabama,Montgomery,South,7,4903185,414583,5945,50536,510.8,0.01433971,8455.381553,121.2477196
New Mexico,Santa Fe,Southwest,3,2096829,160543,2836,49754,832.2,0.017665049,7656.466026,135.2518493
New York,Albany,Middle Atlantic,27,19453561,682976,14325,68486,358.6,0.020974383,3510.801955,73.6369038
Minnesota,St Paul,Midwest,8,5639632,441935,5885,71306,236.4,0.013316438,7836.238251,104.3507803
Utah,Salt Lake City,West,4,3205958,317559,1460,71621,235.6,0.004597571,9905.276364,45.54020982
Maryland,Annapolis,Middle Atlantic,8,6045680,320739,6494,84805,454.1,0.020246992,5305.259293,107.415543
Washington,Olympia,West,10,7614893,283777,3876,73775,293.9,0.013658612,3726.60522,50.90025559
New Jersey,Trenton,Middle Atlantic,12,8882190,609721,20253,82545,206.9,0.033216832,6864.534535,228.0180901
New Hampshire,Concord,New England,2,1359711,54778,897,76768,152.5,0.016375187,4028.650206,65.96990096
Nebraska,Lincoln,Midwest,3,1934408,180131,1818,61439,300.9,0.010092655,9311.944533,93.9822416
Illinois,Springfield,Midwest,18,12671821,1052682,19724,65886,406.9,0.018736903,8307.266967,155.6524512
Arizona,Phoenix,Southwest,9,7278717,649040,10855,58945,455.3,0.016724701,8916.956106,149.1334256
Texas,Austin,Southwest,36,28995881,2045699,31050,61874,418.9,0.015178186,7055.136555,107.0841752
Maine,Augusta,New England,2,1344212,32779,477,57918,115.2,0.014552,2438.529042,35.48547402
Idaho,Boise,West,2,1787065,153358,1591,55785,223.8,0.010374418,8581.55691,89.02865872
Indiana,Indianapolis,Midwest,9,6732219,578494,9202,56303,370.8,0.01590682,8592.917135,136.6859872
Hawaii,Honolulu,West,2,1415872,23305,315,81275,285.5,0.013516413,1645.982123,22.24777381
Oklahoma,Oklahoma City,Southwest,5,3956971,352900,2935,52919,431.8,0.008316804,8918.437866,74.17289639
Arkansas,Little Rock,South,4,3017804,264511,4228,47597,584.6,0.015984212,8765.015886,140.1018754
Wisconsin,Madison,Midwest,8,5822434,561160,5728,61747,293.3,0.010207427,9637.893706,98.37810098
Virginia,Richmond,Middle Atlantic,11,8535519,422634,5656,74222,208,0.013382738,4951.473953,66.26427754
Tennessee,Nashville,South,9,6829174,670482,8232,53320,595.2,0.012277735,9817.9077,120.5416643
California,Sacramento,West,53,39512223,2816969,31654,75235,441.2,0.0112369,7129.360957,80.11191879
Vermont,Montpelier,New England,1,623989,9573,162,61973,202.2,0.016922595,1534.16166,25.96199612
Colorado,Denver,West,7,5758736,369177,5316,72331,381,0.014399597,6410.729716,92.31192401
Georgia,Atlanta,South,14,10617423,791324,11975,58700,340.7,0.015132866,7453.070298,112.7863136
Ohio,Columbus,Midwest,16,11689100,807293,9990,56602,293.2,0.012374689,6906.374315,85.46423591
Montana,Helena,West,1,1068778,88110,1077,54970,404.9,0.012223357,8243.994543,100.7692898
Wyoming,Cheyenne,West,1,578759,48701,522,64049,217.4,0.010718466,8414.728756,90.19298188
Florida,Tallahassee,South,27,21477737,1503529,23613,55660,378.4,0.015705051,7000.40698,109.9417504
Iowa,Des Moines,Midwest,4,3155070,301824,4251,60523,266.6,0.014084367,9566.317071,134.7355209
Kentucky,Frankfort,South,6,4467673,317345,3042,50589,217.1,0.009585782,7103.138479,68.08913723
Louisiana,Baton Rouge,South,6,4648794,361148,8080,49469,549.3,0.022373099,7768.63849,173.8085189
Alaska,Juno,West,1,731545,49535,227,77640,867.1,0.004582618,6771.28543,31.03021687
Pennsylvania,Harrisburg,Middle Atlantic,18,12801989,748564,18742,61744,306.4,0.025037271,5847.247643,146.3991259
Delaware,Dover,Middle Atlantic,1,973764,68065,995,68287,422.6,0.014618379,6989.886667,102.1808159
Michigan,Lansing,Midwest,14,9986857,576573,14511,57144,437.4,0.025167672,5773.317872,145.3009691
West Virginia,Charleston,Middle Atlantic,3,1792147,105219,1702,46711,316.6,0.016175786,5871.114367,94.96988807
